search URL:,https://patents.google.com/?q=bike
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US5692764A,Bicycle front forks and methods of making same ,Klein Bicycle Corporation,"Gary G. Klein, Darrell W. Voss, Richard W. Randall",1993-08-13,1993-08-13,1997-12-02,1997-12-02,https://patents.google.com/patent/US5692764A/en
US4900291A,Bicycle gear shifting method and apparatus ,Sram Corporation,Sam H. Patterson,1988-01-06,1989-01-05,1990-02-13,1990-02-13,https://patents.google.com/patent/US4900291A/en
US5291765A,Bicycle lock bracket ,Gary Hoisington,Gary Hoisington,1992-12-16,1992-12-16,1994-03-08,1994-03-08,https://patents.google.com/patent/US5291765A/en
US5791674A,Bicycle suspension system ,Cannondale Corporation,"Christopher P. D'Aluisio, Mario M. Galasso",1997-03-13,1997-03-13,1998-08-11,1998-08-11,https://patents.google.com/patent/US5791674A/en
US4863182A,Skate bike ,Chern Jiuun F,Jiuun F. Chern,1988-07-21,1988-07-14,1989-09-05,1989-09-05,https://patents.google.com/patent/US4863182A/en
US4925183A,Indoor-rollbike apparatus ,Kim Sang Sup,Sang-Sup Kim,1987-06-01,1987-06-01,1990-05-15,1990-05-15,https://patents.google.com/patent/US4925183A/en
US20120012412A1,Bicycle Transmission System ,"Frank Moeller, Martin Weber","Frank Moeller, Martin Weber",2009-02-12,2010-02-12,2012-01-19,,https://patents.google.com/patent/US20120012412A1/en
US4938733A,Bicycle gear shifting method and apparatus ,Sram Corporation,Sam H. Patterson,1988-01-06,1989-12-21,1990-07-03,1990-07-03,https://patents.google.com/patent/US4938733A/en
US6612597B2,Tandem bicycle adapter ,"Orlando C. Baker, Schaefer, Iv Francis H.","Orlando C. Baker, Francis H. Schaefer, IV",2001-09-24,2002-09-10,2003-09-02,2003-09-02,https://patents.google.com/patent/US6612597B2/en
US5088944A,Collapsible water bike ,Simon Kats,Simon Kats,1990-11-05,1990-11-05,1992-02-18,1992-02-18,https://patents.google.com/patent/US5088944A/en
US5025932A,Secure bicycle rack and carrier ,Jay Lanny E,Lanny E. Jay,1990-01-25,1990-01-25,1991-06-25,1991-06-25,https://patents.google.com/patent/US5025932A/en
US4420164A,Stand for dirt bikes ,Mitchell Mark T,Mark T. Mitchell,1982-01-15,1982-01-15,1983-12-13,1983-12-13,https://patents.google.com/patent/US4420164A/en
US20070142177A1,Computerized method and system for fitting a bicycle to a cyclist ,"Crucial Innovation, Inc.","Clifford Simms, Douglas Ogden",2005-09-26,2005-09-26,2007-06-21,,https://patents.google.com/patent/US20070142177A1/en
US3045772A,Drive for motor bikes ,Theodore R Nicolai,Theodore R Nicolai,1959-02-17,1959-02-17,1962-07-24,1962-07-24,https://patents.google.com/patent/US3045772A/en
US6217049B1,Bicycle suspension system with spring preload adjuster and hydraulic lockout device ,"Rockshox, Inc.",William M. Becker,1997-07-03,1998-05-14,2001-04-17,2001-04-17,https://patents.google.com/patent/US6217049B1/en
US5758548A,Bicycle handlebars ,Smith; Eugene W.,Eugene W. Smith,1996-06-28,1996-06-28,1998-06-02,1998-06-02,https://patents.google.com/patent/US5758548A/en
US4305532A,Universal bicycle carrier ,Reminger John F,John F. Reminger,1979-07-20,1979-07-20,1981-12-15,1981-12-15,https://patents.google.com/patent/US4305532A/en
US5480366A,Stationary bicycle trainer ,"Harnden; Eric F., Harnden; Leif","Eric F. Harnden, Leif Harnden",1994-03-17,1994-03-17,1996-01-02,1996-01-02,https://patents.google.com/patent/US5480366A/en
US5626501A,Pontoon water bike ,He; Xiaohai,Xiaohai He,1996-02-12,1996-02-12,1997-05-06,1997-05-06,https://patents.google.com/patent/US5626501A/en
US5720518A,Universal bike and exercycle seat cushion accessory ,Harrison; Craig R.,Craig R. Harrison,1996-08-30,1996-08-30,1998-02-24,1998-02-24,https://patents.google.com/patent/US5720518A/en
US6913560B2,Stationary bike ,Brunswick Corporation,"Allen L. Ryan, Thomas DeSilvia, Thomas Smith, Thomas Danowski",2001-09-26,2001-09-26,2005-07-05,2005-07-05,https://patents.google.com/patent/US6913560B2/en
US5833074A,"Fast-loading, protective bicycle rack ",Phillips; Cal M.,Cal M. Phillips,1995-04-06,1995-04-06,1998-11-10,1998-11-10,https://patents.google.com/patent/US5833074A/en
US5875947A,Centralized handled bicycle fork anchor ,Industri Ab Thule,"James R. Noel, Thomas A. Chimenti, Frederick G. Murray, Jan Erik Johansson",1996-10-21,1997-10-20,1999-03-02,1999-03-02,https://patents.google.com/patent/US5875947A/en
US5197353A,Crank and spider assembly for bicycle ,"John Trenerry, Phillip Trenerry","John Trenerry, Phillip Trenerry",1991-07-31,1991-07-31,1993-03-30,1993-03-30,https://patents.google.com/patent/US5197353A/en
US5076386A,Motorized bicycle ,Frank T. Dziewit,Timothy Ferneding,1990-10-10,1990-10-10,1991-12-31,1991-12-31,https://patents.google.com/patent/US5076386A/en
US3915468A,Snow bike ,Raymond Lee Organization Inc,Reynald L Hoareau,1974-08-13,1974-08-13,1975-10-28,1975-10-28,https://patents.google.com/patent/US3915468A/en
US5460396A,Derailleur mounting assembly for a bicycle ,Roadmaster Corporation,"Edmund E. Sutter, George E. Clarke",1993-02-05,1993-06-07,1995-10-24,1995-10-24,https://patents.google.com/patent/US5460396A/en
US20080096725A1,Performance monitoring & display system for exercise bike ,Keiser Dennis L,Dennis L. Keiser,2006-10-20,2006-10-20,2008-04-24,,https://patents.google.com/patent/US20080096725A1/en
US5779119A,Removable wheel holder for bicycle ,"Talbot; Mark, Aflague; Allen","Mark Talbot, Allen Aflague",1995-11-21,1995-11-21,1998-07-14,1998-07-14,https://patents.google.com/patent/US5779119A/en
US6352131B1,Bicycle's power train ,"Jung-Te Lin, Ruey Shong Nelson Lin","Jung-Te Lin, Ruey Shong Nelson Lin",2000-01-25,2000-01-25,2002-03-05,2002-03-05,https://patents.google.com/patent/US6352131B1/en
US5546829A,Clipless bicycle pedal system ,"Speedplay, Inc.",Richard M. Bryne,1991-12-09,1994-01-21,1996-08-20,1996-08-20,https://patents.google.com/patent/US5546829A/en
FR2774966A1,Rear suspension for mountain bike ,Philippe Lesage,Philippe Lesage,1998-02-18,1998-02-18,1999-08-20,,https://patents.google.com/patent/FR2774966A1/en
US20100078454A1,Bicycle carrier with fork mount and universal crossbar clamp ,"Chris Sautter, Lesley Kevin E","Chris Sautter, Kevin E. Lesley",2008-06-23,2009-06-23,2010-04-01,,https://patents.google.com/patent/US20100078454A1/en
US20020185581A1,Bicycle seat elevation adjuster ,Trask Brian C.,Brian Trask,2001-06-11,2002-06-10,2002-12-12,,https://patents.google.com/patent/US20020185581A1/en
US5685553A,Suspension for a bicycle having a Y shaped frame ,Trek Bicycle Corp.,"Weston M. Wilcox, Matthew A. Rhoades, Michael L. Zeigle",1994-09-21,1995-03-09,1997-11-11,1997-11-11,https://patents.google.com/patent/US5685553A/en
US5357643A,Multipurpose tool and bicycle seat clamp combination ,Seals Robert L,Robert L. Seals,1992-12-21,1993-11-01,1994-10-25,1994-10-25,https://patents.google.com/patent/US5357643A/en
US5906563A,Dual exercise bike ,Pittari; Dominic,Dominic Pittari,1997-12-22,1997-12-22,1999-05-25,1999-05-25,https://patents.google.com/patent/US5906563A/en
US5325738A,Locking mechanism for a clipless bicycle pedal ,Bryne Richard M,Richard M. Bryne,1991-12-09,1992-09-18,1994-07-05,1994-07-05,https://patents.google.com/patent/US5325738A/en
US4448437A,Foldable bicycle ,Montague Harry D,Harry D. Montague,1981-08-31,1981-08-31,1984-05-15,1984-05-15,https://patents.google.com/patent/US4448437A/en
US7000934B1,Bicycle propulsion system ,William Capek,William Capek,2004-12-27,2004-12-27,2006-02-21,2006-02-21,https://patents.google.com/patent/US7000934B1/en
US4938475A,Bicycle racing training apparatus ,"Sargeant Bruce A, Hoffenberg Mark J, Rob Reasons, Walpert Robert A","Bruce A. Sargeant, Mark J. Hoffenberg, Rob Reasons, Robert A. Walpert",1987-05-26,1987-08-25,1990-07-03,1990-07-03,https://patents.google.com/patent/US4938475A/en
US6325733B1,Hydraulically-operated bicycle shifting system with power shifting ,"Richard A. Patterson, Roy M. Patterson","Richard A. Patterson, Roy M. Patterson",1997-12-24,2000-03-06,2001-12-04,2001-12-04,https://patents.google.com/patent/US6325733B1/en
US5251796A,Integrated lock and storage rack for a bicycle ,Michael Shelhart,Michael Shelhart,1992-02-07,1992-02-07,1993-10-12,1993-10-12,https://patents.google.com/patent/US5251796A/en
US5806372A,Control device for a bicycle derailleur comprising spring means opposing the derailleur spring ,Campagnolo Srl,Valentino Campagnolo,1995-10-19,1996-10-21,1998-09-15,1998-09-15,https://patents.google.com/patent/US5806372A/en
US5533937A,Bicycle derailleur ,Sram Corporation,"Sam H. Patterson, John D. Cheever, Michael W. Larson",1995-02-06,1995-02-06,1996-07-09,1996-07-09,https://patents.google.com/patent/US5533937A/en
US7392999B2,Bicycle with rear suspension ,Rocky Mountain Bicycles - A Division Of Procycle Group Inc.,D'Arcy O'Connor,2005-03-02,2007-04-05,2008-07-01,2008-07-01,https://patents.google.com/patent/US7392999B2/en
US6196566B1,Lightweight folding bicycle ,Guanli Zhang,Guanli Zhang,1998-06-05,1999-06-04,2001-03-06,2001-03-06,https://patents.google.com/patent/US6196566B1/en
US5330219A,Flexible and folding bicycle ,Greendale Bicycle Company,"Mark L. Groendal, Richard D. Vaughn, Ricky A. Engvall",1993-09-13,1993-09-13,1994-07-19,1994-07-19,https://patents.google.com/patent/US5330219A/en
US6491606B1,Device for changing pedal loads on a spin bike ,Paul Swift,Paul Swift,1999-04-21,1999-04-21,2002-12-10,2002-12-10,https://patents.google.com/patent/US6491606B1/en
US5240269A,Bike suspension ,"Miner Enterprises, Inc.",Ronald W. Kerr,1992-01-16,1992-01-16,1993-08-31,1993-08-31,https://patents.google.com/patent/US5240269A/en
US20070164065A1,Adjustable bicycle wheel retainer ,Davis Brian F,Brian Davis,2005-08-09,2006-08-08,2007-07-19,,https://patents.google.com/patent/US20070164065A1/en
US6145715A,Belt and bicycle mountable beverage holder ,Slonim; Melissa,Melissa Slonim,1997-08-04,1998-11-20,2000-11-14,2000-11-14,https://patents.google.com/patent/US6145715A/en
US6446994B1,Bicycle fender system ,"Ernest Thomas Smerdon, Jr.","Ernest Thomas Smerdon, Jr.",1999-12-27,2000-12-12,2002-09-10,2002-09-10,https://patents.google.com/patent/US6446994B1/en
US5852955A,Clipless bicycle pedal system ,"Crisick; William E., Ortega; David F.","William E. Crisick, David F. Ortega",1995-10-26,1997-02-21,1998-12-29,1998-12-29,https://patents.google.com/patent/US5852955A/en
US6659487B1,Flexible bike frame ,Tony S. Raco,Tony S. Raco,2002-01-18,2002-08-22,2003-12-09,2003-12-09,https://patents.google.com/patent/US6659487B1/en
US4967435A,Multipurpose bicycle tool kit ,Seals Robert L,Robert L. Seals,1990-02-12,1990-02-12,1990-11-06,1990-11-06,https://patents.google.com/patent/US4967435A/en
US5044648A,Bicycle suspension system ,Knapp Thomas D,Thomas D. Knapp,1989-04-18,1989-04-18,1991-09-03,1991-09-03,https://patents.google.com/patent/US5044648A/en
US6530864B1,Apparatus for removably interfacing a bicycle to a computer ,Edward H. Parks,Edward H. Parks,1999-05-04,2000-10-03,2003-03-11,2003-03-11,https://patents.google.com/patent/US6530864B1/en
US6988645B1,Bicycle rack anti-sway stabilizer ,"Nusbaum Neil H, Levy F Andre","Neil H. Nusbaum, F. Andre Levy",2003-02-20,2003-02-20,2006-01-24,2006-01-24,https://patents.google.com/patent/US6988645B1/en
US20050282672A1,Bicycle sprocket ,Shimano Inc.,Tetsu Nonoshita,2004-06-22,2005-03-14,2005-12-22,,https://patents.google.com/patent/US20050282672A1/en
US6450520B1,Bicycle rear suspension ,Mario Girard,Mario Girard,1997-06-10,1999-12-09,2002-09-17,2002-09-17,https://patents.google.com/patent/US6450520B1/en
US6286738B1,Bicycle carrier ,"Yakima Products, Inc.","Duncan Robins, Joseph J. Settelmayer, Scott R. Allen",1999-12-17,1999-12-17,2001-09-11,2001-09-11,https://patents.google.com/patent/US6286738B1/en
US5452910A,Rear wheel suspension for a bicycle and bicycle equipped therewith ,"Rockshox, Inc.",Trevor L. Harris,1994-09-09,1994-09-09,1995-09-26,1995-09-26,https://patents.google.com/patent/US5452910A/en
US6024413A,Bicycle wheel and rim ,"Spencer Technology, Inc.","William Dixon, Ben M. Spencer",1997-09-04,1997-09-04,2000-02-15,2000-02-15,https://patents.google.com/patent/US6024413A/en
US4662090A,Bicycle shoe ,Solano Mike L,Mike L. Solano,1986-03-17,1986-03-17,1987-05-05,1987-05-05,https://patents.google.com/patent/US4662090A/en
US5117708A,"Handlebars for motorcycles, dirt bikes, all terrain vehicles and jet skis ","Answer Products, Inc., Easton Aluminum, Inc.","Scott M. Boyer, Charles R. Teixeira, IV",1991-02-19,1991-02-19,1992-06-02,1992-06-02,https://patents.google.com/patent/US5117708A/en
